id,parent_id,level,kind,name_ar,name_en,source,is_official_governorate
gov:القاهرة,,0,governorate,القاهرة,,data1,True
district:القاهرة:مصر-الجديده,gov:القاهرة,1,district,مصر الجديده,,data1,
district:القاهرة:مدينة-نصر,gov:القاهرة,1,district,مدينة نصر,,data1,
district:القاهرة:المعادى,gov:القاهرة,1,district,المعادى,,data1,
district:القاهرة:القاهره-الجديده,gov:القاهرة,1,district,القاهره الجديده,,data1,
district:القاهرة:حدائق-القبه,gov:القاهرة,1,district,حدائق القبه,,data1,
district:القاهرة:مدينة-العبور,gov:القاهرة,1,district,مدينة العبور,,data1,
district:القاهرة:المنيل,gov:القاهرة,1,district,المنيل,,data1,
district:القاهرة:شبرا-مصر,gov:القاهرة,1,district,شبرا مصر,,data1,
district:القاهرة:وسط-البلد,gov:القاهرة,1,district,وسط البلد,,data1,
district:القاهرة:مدينة-السلام,gov:القاهرة,1,district,مدينة السلام,,data1,
district:القاهرة:الرحاب,gov:القاهرة,1,district,الرحاب,,data1,
district:القاهرة:الزمالك,gov:القاهرة,1,district,الزمالك,,data1,
district:القاهرة:الزيتون,gov:القاهرة,1,district,الزيتون,,data1,
district:القاهرة:السيده-زينب,gov:القاهرة,1,district,السيده زينب,,data1,
district:القاهرة:الشروق,gov:القاهرة,1,district,الشروق,,data1,
district:القاهرة:العاشر-من-رمضان,gov:القاهرة,1,district,العاشر من رمضان,,data1,
district:القاهرة:العباسيه,gov:القاهرة,1,district,العباسيه,,data1,
district:القاهرة:القطاميه,gov:القاهرة,1,district,القطاميه,,data1,
district:القاهرة:المرج,gov:القاهرة,1,district,المرج,,data1,
district:القاهرة:المطريه,gov:القاهرة,1,district,المطريه,,data1,
district:القاهرة:المقطم,gov:القاهرة,1,district,المقطم,,data1,
district:القاهرة:بولاق,gov:القاهرة,1,district,بولاق,,data1,
district:القاهرة:حدائق-المعادى,gov:القاهرة,1,district,حدائق المعادى,,data1,
district:القاهرة:حدائق-حلوان,gov:القاهرة,1,district,حدائق حلوان,,data1,
district:القاهرة:حلوان,gov:القاهرة,1,district,حلوان,,data1,
district:القاهرة:دار-السلام,gov:القاهرة,1,district,دار السلام,,data1,
district:القاهرة:شبرا-الخيمه,gov:القاهرة,1,district,شبرا الخيمه,,data1,
district:القاهرة:عين-شمس,gov:القاهرة,1,district,عين شمس,,data1,
district:القاهرة:مدينة-بدر,gov:القاهرة,1,district,مدينة بدر,,data1,
district:القاهرة:مدينتي,gov:القاهرة,1,district,مدينتي,,data1,
district:القاهرة:مصر-القديمه,gov:القاهرة,1,district,مصر القديمه,,data1,
district:القاهرة:النزهه-الجديده,gov:القاهرة,1,district,النزهه الجديده,,data1,
district:القاهرة:مدينة-المستقبل,gov:القاهرة,1,district,مدينة المستقبل,,data1,
gov:الجيزة,,0,governorate,الجيزة,,data1,True
district:الجيزة:الدقى,gov:الجيزة,1,district,الدقى,,data1,
district:الجيزة:المهندسين,gov:الجيزة,1,district,المهندسين,,data1,
district:الجيزة:السادس-من-أكتوبر,gov:الجيزة,1,district,السادس من أكتوبر,,data1,
district:الجيزة:الهرم,gov:الجيزة,1,district,الهرم,,data1,
district:الجيزة:فيصل,gov:الجيزة,1,district,فيصل,,data1,
district:الجيزة:الشيخ-زايد,gov:الجيزة,1,district,الشيخ زايد,,data1,
district:الجيزة:حدائق-الاهرام,gov:الجيزة,1,district,حدائق الاهرام,,data1,
district:الجيزة:العجوزه,gov:الجيزة,1,district,العجوزه,,data1,
district:الجيزة:الجيزه-الجديده,gov:الجيزة,1,district,الجيزه الجديده,,data1,
district:الجيزة:بولاق-الدكرور,gov:الجيزة,1,district,بولاق الدكرور,,data1,
district:الجيزة:البدراشين,gov:الجيزة,1,district,البدراشين,,data1,
district:الجيزة:الحوامديه,gov:الجيزة,1,district,الحوامديه,,data1,
district:الجيزة:العياط,gov:الجيزة,1,district,العياط,,data1,
district:الجيزة:امبابه,gov:الجيزة,1,district,امبابه,,data1,
district:الجيزة:ميدان-الجيزه,gov:الجيزة,1,district,ميدان الجيزه,,data1,
district:الجيزة:حدائق-اكتوبر,gov:الجيزة,1,district,حدائق اكتوبر,,data1,
district:الجيزة:كرداسة,gov:الجيزة,1,district,كرداسة,,data1,
district:الجيزة:أوسيم,gov:الجيزة,1,district,أوسيم,,data1,
district:الجيزة:منشأة-القناطر,gov:الجيزة,1,district,منشأة القناطر,,data1,
district:الجيزة:أبو-النمرس,gov:الجيزة,1,district,أبو النمرس,,data1,
district:الجيزة:أطفيح,gov:الجيزة,1,district,أطفيح,,data1,
district:الجيزة:الصف,gov:الجيزة,1,district,الصف,,data1,
gov:الإسكندرية,,0,governorate,الإسكندرية,,data1,True
district:الإسكندرية:محطة-الرمل,gov:الإسكندرية,1,district,محطة الرمل,,data1,
district:الإسكندرية:رشدى,gov:الإسكندرية,1,district,رشدى,,data1,
district:الإسكندرية:سموحه,gov:الإسكندرية,1,district,سموحه,,data1,
district:الإسكندرية:سبورتينج,gov:الإسكندرية,1,district,سبورتينج,,data1,
district:الإسكندرية:سيدى-جابر,gov:الإسكندرية,1,district,سيدى جابر,,data1,
district:الإسكندرية:لوران,gov:الإسكندرية,1,district,لوران,,data1,
district:الإسكندرية:كامب-شيزار,gov:الإسكندرية,1,district,كامب شيزار,,data1,
district:الإسكندرية:الابراهيميه,gov:الإسكندرية,1,district,الابراهيميه,,data1,
