sort_order,specialty_ar
1,جلديه
2,أسنان
3,نفسي
4,أطفال وحديثى الولاده
5,مخ واعصاب
6,عظام
7,نساء وتوليد
8,انف واذن وحنجره
9,قلب واوعيه دمويه
10,امراض دم
11,باطنه
12,تخسيس وتغذيه
13,جراحة أطفال
14,جراحة اورام
15,جراحة اوعيه دمويه
16,جراحة تجميل
17,جراحة سمنه ومناظير
18,جراحه عامه
19,جراحة عمود فقرى
20,جراحة قلب وصدر
21,جراحة مخ واعصاب
22,جهاز هضمى ومناظير
23,حساسيه ومناعه
24,حقن مجهرى وأطفال انابيب
25,ذكوره وعقم
26,روماتيزم
27,سكر وغدد صماء
28,سمعيات
29,صدر وجهاز تنفسي
30,طب الاسره
31,طب المسنين
32,طب بيطرى
33,طب تقويمي
34,علاج الآلام
35,علاج طبيعي واصابات ملاعب
36,عيون
37,كبد
38,كلى
39,مسالك بوليه
40,نطق وتخاطب
41,ممارسه عامه
